z_best,z_err_plus,z_err_minus,log_SFR,log_SFR_err_plus,log_SFR_err_minus
# MadauDickinson2014
0.03,0,0,-1.95,0.2,0.2
0.03,0,0,-1.72,0.02,0.03
0.05,0,0,-1.77,0.08,0.09
0.055,0.045,0.045,-1.82,0.09,0.02
0.125,0.075,0.075,-1.75,0.18,0.18
0.15,0.15,0.15,-1.64,0.09,0.11
0.30,0.1,0.1,-1.5,0.05,0.05
0.30,0.1,0.1,-1.55,0.12,0.12
0.375,0.075,0.075,-1.42,0.03,0.04
0.5,0.1,0.1,-1.39,0.15,0.08
0.5,0.1,0.1,-1.44,0.1,0.1
0.525,0.075,0.075,-1.32,0.05,0.05
0.55,0.15,0.15,-1.22,0.08,0.11
0.55,0.15,0.15,-1.34,0.22,0.11
0.7,0.1,0.1,-1.14,0.06,0.06
0.7,0.1,0.1,-1.2,0.31,0.13
0.7,0.1,0.10,-1.24,0.1,0.1
0.85,0.15,0.15,-1.1,0.1,0.13
0.85,0.15,0.15,-0.96,0.15,0.19
0.9,0.1,0.1,-0.99,0.09,0.08
0.9,0.1,0.1,-0.94,0.05,0.06
1,0.2,0.2,-1.25,0.31,0.13
1.1,0.1,0.1,-0.81,0.04,0.05
1.1,0.1,0.1,-0.94,0.09,0.09
1.125,0.205,0.205,-1.02,0.08,0.08
1.15,0.15,0.15,-0.96,0.13,0.2
1.15,0.15,0.15,-0.89,0.27,0.21
1.45,0.25,0.25,-0.95,0.15,0.08
1.45,0.25,0.25,-0.84,0.04,0.04
1.55,0.25,0.25,-0.91,0.17,0.21
1.55,0.25,0.25,-0.94,0.13,0.18
1.75,0.13,0.13,-0.75,0.12,0.12
1.85,0.15,0.15,-0.86,0.02,0.03
2.05,0.25,0.25,-0.89,0.21,0.25
2.05,0.25,0.25,-0.8,0.18,0.15
2.1,0.4,0.4,-0.75,0.49,0.09
2.225,0.145,0.145,-0.87,0.09,0.09
2.25,0.25,0.25,-0.91,0.09,0.12
2.3,0.40,0.4,-0.75,0.09,0.11
2.75,0.25,0.25,-0.86,0.15,0.23
3,0.5,0.5,-1.04,0.26,0.15
3.05,0.35,0.35,-0.97,0.11,0.15
3.6,0.60,0.60,-1.36,0.23,0.5
3.8,0,0,-1.29,0.05,0.05
4,0.5,0.5,-1.69,0.22,0.32
4.9,0,0,-1.42,0.06,0.06
5.9,0,0,-1.65,0.08,0.08
7,0,0,-2,0.1,0.11
7,0,0,-1.79,0.1,0.1
7.9,0,0,-2.09,0.11,0.11
# McLeod2016
5,0,0,-1.74,0,0
6,0,0,-1.90,0.04,0.045
7,0,0,-2.096,0.042,0.039
8,0,0,-2.31,0.06,0.06
9,0,0,-2.59,0.097,0.14
10,0,0,-2.76,0.137,0.208
# Oesch2018
10.2,0.6,0.6,-3.28,0.141,0.162
# Oesch2014
9,0.53,0.53,-2.72,0.17,0.17
# Bowens2016
3.80,0.4,0.4,-1.114,0.125,0.125
4.90,0.5,0.5,-1.38,0.12,0.12
5.90,0.4,0.4,-1.636,0.132,0.132
6.80,0.5,0.5,-1.885,0.068,0.068
7.90,0.5,0.5,-2.20,0.069,0.069
# PerezGonzalez2025
10.70,0,0,-3.02,0.11,0.13
12.20,0,0,-3.45,0.145,0.175
16.60,0,0,-4.21,0.18,0.302
25.2,0,0,-5.045,0.316,0.424
# Bowens2023
8,0,0,-2.94,0.28,0.28
10,0,0,-3.46,0.14,0.14
12.9,0,0,-3.76,0.23,0.27
17.6,0,0,-3.76,0.52,0.7
# Donnan23a,b
8,0,0,-2.33,0,0
9,0,0,-2.52,0,0
10.5,0,0,-2.8,0.14,0.2
11.2,0,0,-2.95,0.19,0.36
13.25,0,0,-3.62,0.16,0.25
# Donnan2024
9,0,0,-2.646,0,0
10,0,0,-2.81,0.065,0.065
11,0,0,-2.81,0.138,0.2
12.5,0,0,-3.29,0.174,0.32
14.5,0,0,-4.03,0.27,0.8
# Willot23
8,0,0,-2.15,0,0
9,0,0,-2.45,0,0
10.25,0,0,-3.04,0.13,0.135
11.74,0,0,-3.54,0.26,0.29
# Finkelstein23
11,0,0,-2.93,0.2,0.2
14,0,0,-3.04,1.11,0.7
# Adams24
8,0,0,-2.29,0,0
9,0,0,-2.6,0.16,0.2
10.5,0,0,-3.17,0.17,0.16
12,0,0,-3.30,0.21,0.61
# McLeod24
11,0,0,-2.79,0.13,0.13
# Harikane24
8.9,0,0,-2.94,0.23,0.27
10.04,0,0,-3.38,0.38,0.39
11.97,0,0,-3.59,0.23,0.31
# Harikane23
9,0,0,-2.61,0.18,0.16
12,0,0,-3.23,0.29,0.27
16,0,0,-3.59,0.33,2.83
